Simulation nº	Blocked elements in queue 1	Blocking Probability Queue 1	Theoretical BP Queue 1	Blocked elements in queue 2	Blocking Probability Queue 2	Theoretical BP Queue 2	Total Blocking Probability	Throughput Rate	Mean nº of elements in the system	Mean Sojourn Time	Server 1 utilization rate	Server 2 utilization rate
1	14008.000	14.008%	100.000%	36584.000	42.543%	42.575%	50.592%	0.985 elements/s	7.804	7.925 s	85.698%	98.709%
2	14336.000	14.336%	100.000%	36225.000	42.287%	42.207%	50.561%	0.982 elements/s	7.794	7.935 s	85.529%	98.509%
3	14245.000	14.245%	100.000%	36535.000	42.604%	42.706%	50.780%	0.986 elements/s	7.817	7.927 s	85.663%	98.606%
4	14378.000	14.378%	100.000%	36334.000	42.435%	42.643%	50.712%	0.988 elements/s	7.830	7.926 s	86.040%	98.545%
5	13910.000	13.910%	100.000%	36436.000	42.323%	42.606%	50.346%	0.989 elements/s	7.792	7.878 s	85.539%	98.615%
6	14319.000	14.319%	100.000%	36145.000	42.186%	42.498%	50.464%	0.989 elements/s	7.836	7.920 s	86.028%	98.607%
7	14314.000	14.314%	100.000%	36295.000	42.358%	42.322%	50.609%	0.983 elements/s	7.799	7.933 s	85.682%	98.626%
8	14455.000	14.455%	100.000%	36033.000	42.122%	42.626%	50.488%	0.993 elements/s	7.838	7.894 s	86.122%	98.559%
9	14138.000	14.138%	100.000%	36424.000	42.422%	42.711%	50.562%	0.989 elements/s	7.823	7.907 s	85.784%	98.766%
10	14367.000	14.367%	100.000%	36246.000	42.327%	42.490%	50.613%	0.987 elements/s	7.811	7.916 s	85.514%	98.603%
